id,pm2,pm10,deviceid,time
1262,12,14,ecfbc857-b220-4801-844a-90b353af69e3,17-15:13
1265,13,15,ecfbc857-b220-4801-844a-90b353af69e3,17-15:21
1257,12,16,ecfbc857-b220-4801-844a-90b353af69e3,17-15:08
1244,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-14:55
1245,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-14:56
1247,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-14:57
1249,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-14:59
1258,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-15:09
1259,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-15:11
1261,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-15:13
1267,14,16,ecfbc857-b220-4801-844a-90b353af69e3,17-15:23
1253,13,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:03
1241,14,18,ecfbc857-b220-4801-844a-90b353af69e3,17-14:53
1246,14,18,ecfbc857-b220-4801-844a-90b353af69e3,17-14:56
1254,14,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:04
1255,14,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:06
1256,14,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:07
1264,14,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:15
1263,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:14
1266,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:22
1268,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:24
1271,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:27
1297,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-15:57
1303,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-16:16
1324,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-16:34
1325,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-16:34
1330,15,18,ecfbc857-b220-4801-844a-90b353af69e3,17-16:40
1248,13,19,ecfbc857-b220-4801-844a-90b353af69e3,17-14:58
1251,14,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:01
1250,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:00
1252,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:02
1270,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:26
1273,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:39
1275,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:41
1276,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:41
1277,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:41
1278,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:42
1279,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:42
1280,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:43
1283,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:46
1287,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:50
1300,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:59
1331,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:40
1341,15,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:58
1242,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-14:54
1243,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-14:54
1260,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:12
1284,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:47
1285,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:48
1288,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:51
1291,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:54
1296,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:57
1299,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-15:58
1317,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:27
1320,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:30
1321,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:31
1322,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:32
1323,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-16:32
